date,qqq_close,qqq_volume,tqqq_close,tqqq_volume,qqew_close,qqew_volume,spy_close,spy_volume,vix_close,vix_volume,vix9d_close,vix9d_volume,vix3m_close,vix3m_volume,vxn_close,vxn_volume,skew_close,skew_volume,cpc_close,cpc_volume,tnx_close,tnx_volume,btc_close,btc_volume,qqq_ret_1d,qqq_ret_5d,qqq_ret_21d,qqq_fwd_21d,qqq_fwd_63d,qqq_sma5,qqq_sma10,qqq_sma20,qqq_sma50,qqq_sma200,qqq_high252,qqq_drawdown,qqq_rsi14,realized_vol_10d,realized_vol_5d,vix_ratio_3m,vix9d_ratio_3m,vix_change_5d,vxn_change_5d,skew_change_5d,cpc_change_5d,tnx_change_5d,btc_ret_5d,btc_above_5d_low,tqqq_qqq_volume_ratio,tqqq_ratio_pct_252,qqew_rel_qqq_10d,qqq_rel_spy_5d,finra_debit,finra_debit_to_free_cash,finra_margin_debt_pct_lookback,finra_margin_ratio_pct_lookback,finra_margin_mom,finra_margin_3m,s_drawdown_zone,s_price_stabilizing,s_oversold_rebound,s_vol_easing,s_vol_term,s_short_vol_term,s_options_skew_cooling,s_rate_easing,s_crypto_stable,s_leverage_cooling,s_breadth_recovering,s_tech_relative,s_finra_margin_cooling,bottom_score_raw,bottom_score,bottom_score_pct,bottom_score_available_signals
2025-01-14,501.89849853515625,33737200.0,37.506343841552734,125271000.0,124.82760620117188,39500.0,573.8652954101562,48420600.0,18.709999084472656,0.0,18.149999618530273,0.0,19.989999771118164,0.0,21.450000762939453,0.0,167.63999938964844,0.0,,,4.788000106811523,0.0,96534.046875,53769675818.0,-0.0009494685891735521,-0.03709913747526472,-0.045338028218068316,0.06102001616177821,-0.09188050012738502,506.44566650390624,509.61656799316404,515.8392562866211,509.49187622070315,473.37601593017575,533.9190673828125,-0.059972701489414915,40.317604304904606,0.17683065307059498,0.13612215488814894,0.9359679489093906,0.9079539683013729,2.6699981689453125,2.450000762939453,15.0,,0.1700000762939453,-0.0543117458716309,0.021345722040169157,3.713141576657221,0.9206349206349206,0.020687628259989266,-0.015316780461825275,890852.0,5.2387034554136385,0.9850746268656716,0.9970149253731343,0.09257526346966838,0.11752943567305008,0,0,0,0,2,2.0,0.0,0,1,1,2,0,0.0,8.0,6.153846153846154,30.76923076923077,13
2025-01-15,513.4453125,34957600.0,40.04108428955078,106919200.0,126.7391586303711,117700.0,584.3038940429688,56900200.0,16.1200008392334,0.0,13.9399995803833,0.0,18.229999542236328,0.0,19.290000915527344,0.0,163.5399932861328,0.0,,,4.6529998779296875,0.0,100504.4921875,57805923627.0,0.023006273177832437,0.0029504475745631975,-0.017031002425789032,0.04151355731044881,-0.13907031000365178,506.74775390625,509.7248870849609,515.194548034668,510.16021850585935,473.7473091125488,533.9190673828125,-0.038346176665260634,45.738295521846034,0.2103271348527335,0.2222741940617417,0.88425678793275,0.7646736111038454,-1.6999988555908203,-1.4399986267089844,8.439987182617188,,-0.03000020980834961,0.036955109040661016,0.06335367121241609,3.0585394878366934,0.44047619047619047,0.013090775880249428,-0.004071080879182398,890852.0,5.2387034554136385,0.9850746268656716,0.9970149253731343,0.09257526346966838,0.11752943567305008,0,2,0,2,2,2.0,0.0,1,2,2,2,1,0.0,16.0,12.307692307692308,61.53846153846154,13
2025-01-16,509.84814453125,28229000.0,39.22422790527344,93055400.0,127.1672592163086,45800.0,583.1802978515625,43319700.0,16.600000381469727,0.0,14.880000114440918,0.0,18.350000381469727,0.0,19.610000610351562,0.0,167.41000366210938,0.0,,,4.605999946594238,0.0,99756.90625,54103781805.0,-0.007005941784208991,-0.004250086363032812,-0.031332122539846186,0.05123955030268079,-0.13315223637169848,506.3125244140625,509.9087219238281,513.9910018920898,510.6855834960937,474.0959675598144,533.9190673828125,-0.045083467368105756,37.75390527524081,0.20871274679383406,0.22902017193727647,0.9046321545711142,0.8108991719404596,-1.1000003814697266,-1.0799999237060547,13.07000732421875,,-0.08699989318847656,0.049591835845600674,0.055444091910185955,3.2964469162917567,0.6626984126984127,0.01848149632889684,-0.007868720993450595,890852.0,5.2387034554136385,0.9850746268656716,0.9970149253731343,0.09257526346966838,0.11752943567305008,0,1,1,2,2,2.0,0.0,2,2,0,2,0,0.0,14.0,10.769230769230768,53.84615384615385,13
2025-01-17,518.4535522460938,51837900.0,41.15994644165039,87352200.0,128.7801055908203,91700.0,589.0353393554688,58070600.0,15.970000267028809,0.0,14.130000114440918,0.0,18.190000534057617,0.0,18.959999084472656,0.0,165.35000610351562,0.0,,,4.609000205993652,0.0,104462.0390625,71888972663.0,0.016878374094615012,0.028687524500581763,-0.028966028901212137,0.03407832718787085,-0.16863599692171605,509.20419921875,511.05247192382814,513.3352890014648,511.41123168945313,474.50664459228517,533.9190673828125,-0.028966028901212137,44.910674514794785,0.22354945755809366,0.21142977873991206,0.8779549091891314,0.7768004232866814,-3.570000648498535,-2.770000457763672,13.900009155273438,,-0.16699981689453125,0.10306690779725036,0.10522515284405887,1.6851029844958998,0.003968253968253968,0.012295298678785205,-0.0007317029859891244,890852.0,5.2387034554136385,0.9850746268656716,0.9970149253731343,0.09257526346966838,0.11752943567305008,0,2,0,2,2,2.0,0.0,2,2,0,2,1,0.0,15.0,11.538461538461537,57.692307692307686,13
2025-01-21,521.4942626953125,23628000.0,41.843135833740234,83451800.0,129.7159881591797,45300.0,594.4270629882812,42532900.0,15.0600004196167,0.0,14.3100004196167,0.0,17.5,0.0,18.639999389648438,0.0,173.0,0.0,,,4.573999881744385,0.0,106146.265625,88733878242.0,0.005864962128324658,0.03805674213818144,-0.018950634655945153,0.023685295292856123,-0.1517856871159512,513.0279541015625,511.67055053710936,513.7904739379883,512.0746746826172,474.92762878417966,533.9190673828125,-0.02327095143540092,51.52922292211609,0.210939240642725,0.1964963860584631,0.8605714525495257,0.8177143096923828,-4.130000114440918,-3.1599998474121094,2.4499969482421875,,-0.22900009155273438,0.12304454040980772,0.09957335324858674,3.531902827154224,0.8650793650793651,0.014705222454787226,0.0007725387207357937,899168.0,4.960105913503972,0.9851190476190477,0.9851190476190477,0.009334883908887148,0.10570073449572126,0,2,0,2,2,2.0,0.0,2,2,1,2,1,1.0,17.0,13.076923076923077,65.38461538461539,13
2025-01-22,528.162109375,33593000.0,43.466957092285156,86265400.0,130.81112670898438,102100.0,597.7686157226562,48196000.0,15.100000381469727,0.0,13.569999694824219,0.0,17.809999465942383,0.0,18.68000030517578,0.0,179.97999572753906,0.0,,,4.598999977111816,0.0,103653.0703125,53878181052.0,0.012786040339590965,0.05232853040305341,0.03078031977817286,-0.010216321708164,-0.1435010345057115,518.2806762695312,512.3631713867187,514.693147277832,512.6061859130859,475.4153849792481,533.9190673828125,-0.010782454419603682,60.890519706822985,0.21278548487048216,0.18274133770580572,0.8478383399362297,0.761931504870272,-3.6099987030029297,-2.770000457763672,12.339996337890625,,-0.18900012969970703,0.07374624464587387,0.03905658474146989,2.567957610216414,0.09523809523809523,0.01468797578136849,0.010248459160441925,899168.0,4.960105913503972,0.9851190476190477,0.9851190476190477,0.009334883908887148,0.10570073449572126,0,2,0,2,2,2.0,0.0,2,2,2,2,2,1.0,19.0,14.615384615384615,73.07692307692307,13
2025-01-23,529.2849731445312,23096600.0,43.73429489135742,60481000.0,130.74143981933594,26900.0,601.03125,41152100.0,15.020000457763672,0.0,13.420000076293945,0.0,17.520000457763672,0.0,18.3799991607666,0.0,179.32000732421875,0.0,,,4.638000011444092,0.0,103960.171875,104104515428.0,0.0021259831964470788,0.030849752172060763,0.03759264000995488,-0.023975170105877575,-0.12126973565480315,521.4486083984375,514.0981811523437,515.4292373657227,513.0022119140625,475.88338424682615,533.9190673828125,-0.008679394540069274,65.34769949070325,0.18386002172146715,0.14817086147701383,0.8573059398013788,0.7659817195008756,-1.1000003814697266,-0.9100017547607422,15.780014038085938,,-0.014999866485595703,0.034383335632929946,0.04213508400577526,2.618610531420209,0.1111111111111111,0.0030426743536720036,0.0021600779782486867,899168.0,4.960105913503972,0.9851190476190477,0.9851190476190477,0.009334883908887148,0.10570073449572126,0,2,0,2,2,2.0,0.0,1,2,0,1,1,1.0,14.0,10.769230769230768,53.84615384615385,13
2025-01-24,526.2938842773438,19878300.0,42.94713592529297,72479200.0,130.14407348632812,38300.0,599.2766723632812,34604700.0,14.850000381469727,0.0,12.880000114440918,0.0,17.549999237060547,0.0,18.219999313354492,0.0,173.16000366210938,0.0,,,4.625999927520752,0.0,104819.484375,52388229265.0,-0.005651187959138881,0.032256152979067476,0.02279742030315024,-0.030795220902168796,-0.10642391177157207,524.7377563476563,515.5251403808594,515.765104675293,513.3265112304688,476.3357850646973,533.9190673828125,-0.014281533609290631,63.51730277066875,0.1889751659531829,0.14072964936688379,0.8461539046742976,0.7339031723284674,-1.75,-1.3900012969970703,5.75,,0.019999980926513672,0.05074914926002938,0.011253058486192735,3.646146803298069,0.9126984126984127,0.004944433511582469,0.004530091884694221,899168.0,4.960105913503972,0.9851190476190477,0.9851190476190477,0.009334883908887148,0.10570073449572126,0,2,0,2,2,2.0,0.0,1,1,1,1,1,1.0,14.0,10.769230769230768,53.84615384615385,13
2025-01-27,510.9709777832031,60771700.0,39.17966842651367,161821600.0,128.4714813232422,76500.0,590.7997436523438,70361100.0,17.899999618530273,0.0,18.450000762939453,0.0,18.969999313354492,0.0,21.610000610351562,0.0,168.5500030517578,0.0,,,4.5279998779296875,0.0,102087.6875,89006608428.0,-0.02911473409040377,-0.014432487597922483,-0.016562642213284517,0.0006807419023635575,-0.07991962491467586,523.2412414550781,516.2227203369141,514.9825622558594,513.3503039550782,476.70350997924805,533.9190673828125,-0.04298046464625682,47.2281969479097,0.2327537976324284,0.25632120221021376,0.9435951642828495,0.9725883727339425,1.9299993515014648,2.6500015258789062,3.1999969482421875,,-0.08100032806396484,-0.022729324296258624,0.0,2.6627788921488125,0.12698412698412698,0.02002197722291421,-0.017375853048612222,899168.0,4.960105913503972,0.9851190476190477,0.9851190476190477,0.009334883908887148,0.10570073449572126,0,0,0,0,2,1.0,0.0,2,1,2,2,0,1.0,11.0,8.461538461538462,42.30769230769231,13
2025-01-28,518.5231323242188,33194200.0,40.917362213134766,101033400.0,128.7403106689453,33500.0,595.8761596679688,44433300.0,16.40999984741211,0.0,16.639999389648438,0.0,18.1299991607666,0.0,20.309999465942383,0.0,163.63999938964844,0.0,,,4.551000118255615,0.0,101332.4765625,47180685494.0,0.01478000682891989,-0.005697340476456314,-0.015378576134087218,-0.041279348095923485,-0.08733229176022128,522.6470153808593,517.8374847412109,514.5955200195312,513.5435943603516,477.1280859375,533.9190673828125,-0.028835709378318697,48.303739284353995,0.24002337893970427,0.28184584364952014,0.9051296528972501,0.917815783778825,1.3499994277954102,1.6700000762939453,-9.360000610351562,,-0.02299976348876953,-0.04535052678637275,0.0,3.043706430641498,0.42857142857142855,0.005885815471753153,-0.00811536083042197,899168.0,4.960105913503972,0.9851190476190477,0.9851190476190477,0.009334883908887148,0.10570073449572126,0,1,0,0,2,2.0,1.0,1,0,0,1,0,1.0,9.0,6.923076923076923,34.61538461538461,13
2025-01-29,517.5493774414062,26649000.0,40.664878845214844,118481200.0,129.1783447265625,37000.0,593.2047729492188,37177400.0,16.559999465942383,0.0,16.40999984741211,0.0,18.149999618530273,0.0,20.600000381469727,0.0,157.42999267578125,0.0,,,4.554999828338623,0.0,103703.2109375,47432049818.0,-0.0018779391354205588,-0.020093701810893427,-0.016559369421810355,-0.02430748217265366,-0.08573052819325222,520.5244689941406,519.4025726318359,514.5095703125,513.7305053710937,477.51317321777344,533.9190673828125,-0.030659496806600073,53.91877534223465,0.2405253425397489,0.25451024940886174,0.9123966839666169,0.9041322420006165,1.4599990844726562,1.9200000762939453,-22.550003051757812,,-0.04400014877319336,0.00048373506784549214,0.023395602825692086,4.445990468685504,0.996031746031746,0.003559621435352156,-0.01255475660753258,899168.0,4.960105913503972,0.9851190476190477,0.9851190476190477,0.009334883908887148,0.10570073449572126,0,0,0,0,2,2.0,1.0,1,1,1,1,0,1.0,10.0,7.6923076923076925,38.46153846153847,13
2025-01-30,519.7553100585938,27431300.0,41.17479705810547,115171000.0,130.25360107421875,85800.0,596.3886108398438,39281300.0,15.84000015258789,0.0,14.979999542236328,0.0,17.90999984741211,0.0,19.799999237060547,0.0,156.6999969482422,0.0,,,4.51200008392334,0.0,104735.3046875,41915744521.0,0.004262265038541546,-0.018004786777377935,0.0009377395258620691,-0.049708531482721696,-0.07772047557966955,518.6185363769531,520.0335723876954,514.8792297363282,514.0321710205078,477.9444047546387,533.9190673828125,-0.026527910669396526,55.24119467708299,0.21422969656895496,0.2581478378303621,0.8844221266074817,0.8364042250062247,0.8199996948242188,1.4200000762939453,-22.620010375976562,,-0.12599992752075195,0.007456055511643411,0.033580824632280626,4.1985250425608704,0.9920634920634921,0.015252757097928393,-0.010360359387033946,899168.0,4.960105913503972,0.9851190476190477,0.9851190476190477,0.009334883908887148,0.10570073449572126,0,1,0,0,2,2.0,1.0,2,2,1,2,0,1.0,14.0,10.769230769230768,53.84615384615385,13
2025-01-31,519.0000610351562,38755200.0,40.95201110839844,118146600.0,130.34320068359375,63200.0,593.2147216796875,66566900.0,16.43000030517578,0.0,15.850000381469727,0.0,18.43000030517578,0.0,20.110000610351562,0.0,158.47000122070312,0.0,,,4.568999767303467,0.0,102405.0234375,45732764360.0,-0.0014530857286525478,-0.013858840963357766,0.012955562430393863,-0.0511975531373301,-0.06266828031527061,517.1597717285156,520.948764038086,515.428742980957,514.5592175292969,478.4075183105469,533.9190673828125,-0.02794244906964438,61.28550246285066,0.2099692419435068,0.2576847143218496,0.8914812823178125,0.8600108583296386,1.5799999237060547,1.8900012969970703,-14.69000244140625,,-0.057000160217285156,-0.023034466844561785,0.010584433652309544,3.048535422343324,0.43253968253968256,0.006900378793815554,-0.0037816482459963607,899168.0,4.960105913503972,0.9851190476190477,0.9851190476190477,0.009334883908887148,0.10570073449572126,0,1,0,0,2,2.0,1.0,2,1,2,1,1,1.0,14.0,10.769230769230768,53.84615384615385,13
2025-02-03,514.8464965820312,40580800.0,39.96187973022461,153257000.0,130.0345916748047,45900.0,589.2225952148438,65857200.0,18.6200008392334,0.0,19.3799991607666,0.0,19.549999237060547,0.0,21.280000686645508,0.0,155.4499969482422,0.0,,,4.543000221252441,0.0,101405.421875,115400897748.0,-0.008003013419383143,0.00758461628416085,0.01345781221418485,-0.03107455681488802,-0.06071187025391678,517.9348754882812,520.5880584716797,515.8202651977539,514.9347381591797,478.8496661376953,533.9190673828125,-0.035721838694152686,59.03533209516229,0.19688096295427382,0.13619237708158827,0.9524297476153263,0.991304343584235,0.720001220703125,-0.3299999237060547,-13.100006103515625,,0.015000343322753906,-0.006683133311252587,0.0007198611439740432,3.7765889287544847,0.9365079365079365,0.016815631624235605,0.010281577527886165,899168.0,4.960105913503972,0.9851190476190477,0.9851190476190477,0.009334883908887148,0.10570073449572126,0,1,0,1,1,0.0,1.0,1,1,1,2,2,1.0,12.0,9.230769230769232,46.15384615384615,13
2025-02-04,521.1663208007812,26046800.0,41.41242599487305,84634600.0,130.512451171875,41800.0,593.17529296875,33457800.0,17.209999084472656,0.0,17.0,0.0,18.639999389648438,0.0,20.030000686645508,0.0,159.44000244140625,0.0,,,4.513000011444092,0.0,97871.8203125,73002130211.0,0.01227516213222013,0.005097532418109729,0.02790891627987202,-0.0691554153639351,-0.08073299387067656,518.4635131835937,520.5552642822265,516.112907409668,515.3683984375,479.34942749023435,533.9190673828125,-0.02388516792356421,62.870047919610506,0.20525206441247423,0.12118754503060308,0.9232832429184563,0.9120171972452318,0.7999992370605469,-0.279998779296875,-4.1999969482421875,,-0.03800010681152344,-0.03415150174352577,0.0,3.2493281324385337,0.6388888888888888,0.006773162514522646,0.009673978010084294,899168.0,4.960105913503972,0.9851190476190477,0.9851190476190477,0.009334883908887148,0.10570073449572126,0,2,0,1,2,2.0,1.0,1,0,2,1,2,1.0,15.0,11.538461538461537,57.692307692307686,13
