event_id,threshold,entry_date,triggered,low_date,days_from_low,entry_drawdown,low_drawdown,fwd_21d,fwd_63d
18,10,2026-03-19T00:00:00,True,2026-03-30T00:00:00,-11.0,-0.0660395011015994,-0.11964363794311839,0.09204663250921885,0.25047022887910964
19,10,2026-06-12T00:00:00,True,2026-06-10T00:00:00,2.0,-0.03326360492201519,-0.07031997684181479,,
1,11,,False,2018-02-08T00:00:00,,,-0.10226426618565776,,
2,11,2018-04-11T00:00:00,True,2018-04-02T00:00:00,9.0,-0.07778024451427834,-0.10522597980872284,0.058273108080799885,0.10305497656794205
3,11,2018-11-21T00:00:00,True,2018-12-24T00:00:00,-33.0,-0.13966679833000217,-0.22796623824208295,-0.10263400243147913,0.0862192698467108
4,11,2019-05-16T00:00:00,True,2019-06-03T00:00:00,-18.0,-0.03233733005635653,-0.1098320321251457,-0.006434629529407321,-0.010687117853567352
5,11,2019-08-13T00:00:00,True,2019-08-05T00:00:00,8.0,-0.03533215439673609,-0.0745557450174823,0.025691316562110655,0.06887446929852348
6,11,2020-03-23T00:00:00,True,2020-03-16T00:00:00,7.0,-0.27916583588742905,-0.2855936425707133,0.2376511821772609,0.45001226679177186
7,11,2020-09-14T00:00:00,True,2020-09-23T00:00:00,-9.0,-0.0911616665486299,-0.12749406591375545,0.07035907784822992,0.09699815330474215
8,11,2021-03-11T00:00:00,True,2021-03-08T00:00:00,3.0,-0.05471836260893148,-0.10851519618796535,0.059914812639841886,0.07150009539596769
9,11,2021-05-20T00:00:00,True,2021-05-12T00:00:00,8.0,-0.038537200035457686,-0.0734481816853787,0.04844296852351615,0.1081171438517401
10,11,2021-10-06T00:00:00,True,2021-10-04T00:00:00,2.0,-0.0576831017853876,-0.07615393977967622,0.10718154526108115,0.06981624628489258
11,11,2022-01-31T00:00:00,True,2022-11-03T00:00:00,-276.0,-0.10020312252778507,-0.35118714912770055,-0.043602764489804824,-0.12168085943443974
12,11,2023-08-24T00:00:00,True,2023-08-18T00:00:00,6.0,-0.06356614132175509,-0.07157651690455447,-0.003015903442952328,0.08140377690652634
13,11,2023-09-28T00:00:00,True,2023-10-26T00:00:00,-28.0,-0.0705442391471377,-0.10779945251606837,-0.03547395298771305,0.15175062600456712
14,11,2024-05-02T00:00:00,True,2024-04-19T00:00:00,13.0,-0.04363999038762467,-0.07108293455329961,0.06144300162883809,0.05285370794173061
15,11,2024-07-31T00:00:00,True,2024-08-07T00:00:00,-7.0,-0.06340474701755605,-0.13557739553521508,-0.000870329824563254,0.06324505830064231
16,11,2025-03-17T00:00:00,True,2025-04-08T00:00:00,-22.0,-0.10518635655204045,-0.22768317249200065,-0.0499140168927209,0.10836800986441464
17,11,2025-11-25T00:00:00,True,2025-11-20T00:00:00,5.0,-0.04227942912234528,-0.07880207882684143,0.025955187793009316,-0.0013426901107241873
18,11,2026-04-06T00:00:00,True,2026-03-30T00:00:00,7.0,-0.07198946750344415,-0.11964363794311839,0.15821573187698568,
19,11,2026-06-15T00:00:00,True,2026-06-10T00:00:00,5.0,-0.002894773153374275,-0.07031997684181479,,
1,12,,False,2018-02-08T00:00:00,,,-0.10226426618565776,,
2,12,2018-04-12T00:00:00,True,2018-04-02T00:00:00,10.0,-0.06667530127308297,-0.10522597980872284,0.04469501611051663,0.10871134415858741
3,12,2018-11-27T00:00:00,True,2018-12-24T00:00:00,-27.0,-0.12319741744975399,-0.22796623824208295,-0.06138222882277122,0.07004997644100852
4,12,2019-05-21T00:00:00,True,2019-06-03T00:00:00,-13.0,-0.048558164723841446,-0.1098320321251457,0.03860738871214897,0.030541792919611455
5,12,2019-08-21T00:00:00,True,2019-08-05T00:00:00,16.0,-0.034103309827683836,-0.0745557450174823,0.011504091655375692,0.08031675764062718
6,12,2020-03-24T00:00:00,True,2020-03-16T00:00:00,8.0,-0.2233461662946582,-0.2855936425707133,0.14624848879750907,0.357251024706815
7,12,2020-09-15T00:00:00,True,2020-09-23T00:00:00,-8.0,-0.07828039427136035,-0.12749406591375545,0.0465853357415682,0.08951531764359477
8,12,2021-03-11T00:00:00,True,2021-03-08T00:00:00,3.0,-0.05471836260893148,-0.10851519618796535,0.059914812639841886,0.07150009539596769
